uid,uid2,Frontal,Lateral,both,exact,only missing L,only missing F
1,1,1.0,1.0,True,True,False,False
2,2,1.0,1.0,True,True,False,False
3,3,1.0,1.0,True,True,False,False
4,4,1.0,1.0,True,True,False,False
5,5,1.0,1.0,True,True,False,False
6,6,1.0,1.0,True,True,False,False
7,7,1.0,1.0,True,True,False,False
8,8,1.0,1.0,True,True,False,False
9,9,1.0,1.0,True,True,False,False
10,10,1.0,1.0,True,True,False,False
11,11,1.0,1.0,True,True,False,False
12,12,1.0,1.0,True,True,False,False
13,13,1.0,1.0,True,True,False,False
14,14,1.0,1.0,True,True,False,False
15,15,1.0,1.0,True,True,False,False
16,16,1.0,1.0,True,True,False,False
17,17,1.0,1.0,True,True,False,False
18,18,1.0,1.0,True,True,False,False
19,19,1.0,1.0,True,True,False,False
20,20,1.0,1.0,True,True,False,False
21,21,1.0,1.0,True,True,False,False
22,22,1.0,1.0,True,True,False,False
23,23,1.0,1.0,True,True,False,False
24,24,1.0,1.0,True,True,False,False
25,25,1.0,1.0,True,True,False,False
26,26,1.0,1.0,True,True,False,False
27,27,1.0,1.0,True,True,False,False
28,28,1.0,1.0,True,True,False,False
29,29,1.0,1.0,True,True,False,False
30,30,1.0,1.0,True,True,False,False
31,31,1.0,1.0,True,True,False,False
32,32,1.0,1.0,True,True,False,False
33,33,1.0,1.0,True,True,False,False
34,34,1.0,1.0,True,True,False,False
35,35,1.0,1.0,True,True,False,False
36,36,1.0,1.0,True,True,False,False
37,37,1.0,1.0,True,True,False,False
38,38,1.0,1.0,True,True,False,False
39,39,1.0,1.0,True,True,False,False
40,40,1.0,1.0,True,True,False,False
41,41,1.0,1.0,True,True,False,False
42,42,1.0,2.0,True,False,False,False
43,43,1.0,1.0,True,True,False,False
44,44,1.0,0.0,False,False,True,False
45,45,1.0,0.0,False,False,True,False
46,46,1.0,1.0,True,True,False,False
47,47,1.0,1.0,True,True,False,False
48,48,1.0,1.0,True,True,False,False
49,49,1.0,1.0,True,True,False,False
50,50,1.0,1.0,True,True,False,False
51,51,1.0,1.0,True,True,False,False
52,52,1.0,1.0,True,True,False,False
53,53,1.0,1.0,True,True,False,False
54,54,1.0,1.0,True,True,False,False
55,55,1.0,1.0,True,True,False,False
56,56,1.0,1.0,True,True,False,False
57,57,1.0,1.0,True,True,False,False
58,58,1.0,1.0,True,True,False,False
59,59,1.0,1.0,True,True,False,False
60,60,1.0,0.0,False,False,True,False
61,61,1.0,1.0,True,True,False,False
62,62,2.0,1.0,True,False,False,False
63,63,1.0,1.0,True,True,False,False
64,64,1.0,1.0,True,True,False,False
65,65,1.0,1.0,True,True,False,False
66,66,1.0,1.0,True,True,False,False
67,67,1.0,1.0,True,True,False,False
68,68,1.0,0.0,False,False,True,False
69,69,1.0,1.0,True,True,False,False
70,70,1.0,1.0,True,True,False,False
71,71,1.0,0.0,False,False,True,False
72,72,1.0,1.0,True,True,False,False
73,73,1.0,0.0,False,False,True,False
74,74,0.0,1.0,False,False,False,True
75,75,1.0,1.0,True,True,False,False
76,76,1.0,1.0,True,True,False,False
77,77,1.0,2.0,True,False,False,False
78,78,2.0,1.0,True,False,False,False
79,79,1.0,1.0,True,True,False,False
80,80,2.0,1.0,True,False,False,False
81,81,0.0,1.0,False,False,False,True
82,82,1.0,1.0,True,True,False,False
83,83,1.0,1.0,True,True,False,False
84,84,1.0,1.0,True,True,False,False
85,85,1.0,1.0,True,True,False,False
86,86,2.0,1.0,True,False,False,False
87,87,1.0,1.0,True,True,False,False
88,88,0.0,1.0,False,False,False,True
89,89,1.0,1.0,True,True,False,False
90,90,1.0,1.0,True,True,False,False
91,91,1.0,0.0,False,False,True,False
92,92,1.0,1.0,True,True,False,False
93,93,1.0,1.0,True,True,False,False
94,94,1.0,1.0,True,True,False,False
95,95,1.0,1.0,True,True,False,False
96,96,1.0,1.0,True,True,False,False
97,97,1.0,1.0,True,True,False,False
98,98,1.0,1.0,True,True,False,False
99,99,1.0,1.0,True,True,False,False
100,100,1.0,1.0,True,True,False,False
101,101,1.0,1.0,True,True,False,False
102,102,1.0,1.0,True,True,False,False
103,103,1.0,1.0,True,True,False,False
104,104,0.0,1.0,False,False,False,True
105,105,1.0,1.0,True,True,False,False
106,106,1.0,1.0,True,True,False,False
107,107,1.0,1.0,True,True,False,False
108,108,1.0,1.0,True,True,False,False
110,110,1.0,1.0,True,True,False,False
111,111,1.0,1.0,True,True,False,False
112,112,1.0,1.0,True,True,False,False
113,113,2.0,1.0,True,False,False,False
114,114,1.0,1.0,True,True,False,False
115,115,1.0,1.0,True,True,False,False
116,116,1.0,1.0,True,True,False,False
117,117,1.0,1.0,True,True,False,False
118,118,1.0,1.0,True,True,False,False
119,119,1.0,0.0,False,False,True,False
120,120,1.0,1.0,True,True,False,False
121,121,1.0,1.0,True,True,False,False
122,122,1.0,1.0,True,True,False,False
123,123,1.0,1.0,True,True,False,False
124,124,1.0,1.0,True,True,False,False
125,125,1.0,1.0,True,True,False,False
126,126,1.0,0.0,False,False,True,False
127,127,1.0,1.0,True,True,False,False
128,128,1.0,1.0,True,True,False,False
129,129,1.0,1.0,True,True,False,False
130,130,0.0,1.0,False,False,False,True
131,131,1.0,1.0,True,True,False,False
132,132,1.0,0.0,False,False,True,False
133,133,1.0,2.0,True,False,False,False
134,134,1.0,0.0,False,False,True,False
135,135,1.0,1.0,True,True,False,False
136,136,1.0,1.0,True,True,False,False
137,137,0.0,1.0,False,False,False,True
138,138,1.0,1.0,True,True,False,False
139,139,1.0,1.0,True,True,False,False
141,141,1.0,1.0,True,True,False,False
142,142,1.0,1.0,True,True,False,False
143,143,1.0,1.0,True,True,False,False
144,144,1.0,0.0,False,False,True,False
145,145,1.0,1.0,True,True,False,False
146,146,1.0,2.0,True,False,False,False
147,147,1.0,0.0,False,False,True,False
149,149,1.0,1.0,True,True,False,False
150,150,1.0,1.0,True,True,False,False
151,151,1.0,1.0,True,True,False,False
152,152,1.0,1.0,True,True,False,False
153,153,1.0,1.0,True,True,False,False
154,154,1.0,1.0,True,True,False,False
155,155,1.0,1.0,True,True,False,False
157,157,1.0,0.0,False,False,True,False
158,158,1.0,1.0,True,True,False,False
159,159,1.0,1.0,True,True,False,False
160,160,1.0,1.0,True,True,False,False
161,161,1.0,1.0,True,True,False,False
162,162,1.0,1.0,True,True,False,False
163,163,2.0,1.0,True,False,False,False
164,164,1.0,1.0,True,True,False,False
165,165,1.0,1.0,True,True,False,False
166,166,1.0,1.0,True,True,False,False
167,167,1.0,1.0,True,True,False,False
168,168,1.0,1.0,True,True,False,False
169,169,1.0,1.0,True,True,False,False
170,170,1.0,2.0,True,False,False,False
171,171,1.0,1.0,True,True,False,False
172,172,1.0,1.0,True,True,False,False
173,173,1.0,1.0,True,True,False,False
174,174,1.0,1.0,True,True,False,False
175,175,1.0,0.0,False,False,True,False
176,176,1.0,1.0,True,True,False,False
177,177,1.0,1.0,True,True,False,False
178,178,1.0,0.0,False,False,True,False
179,179,1.0,1.0,True,True,False,False
181,181,1.0,1.0,True,True,False,False
182,182,1.0,1.0,True,True,False,False
183,183,1.0,1.0,True,True,False,False
184,184,1.0,1.0,True,True,False,False
185,185,1.0,1.0,True,True,False,False
186,186,1.0,1.0,True,True,False,False
187,187,1.0,1.0,True,True,False,False
188,188,1.0,1.0,True,True,False,False
189,189,1.0,1.0,True,True,False,False
190,190,1.0,1.0,True,True,False,False
191,191,1.0,1.0,True,True,False,False
192,192,1.0,1.0,True,True,False,False
193,193,1.0,1.0,True,True,False,False
194,194,1.0,1.0,True,True,False,False
195,195,1.0,1.0,True,True,False,False
196,196,1.0,0.0,False,False,True,False
197,197,1.0,1.0,True,True,False,False
198,198,0.0,1.0,False,False,False,True
200,200,1.0,1.0,True,True,False,False
201,201,1.0,1.0,True,True,False,False
202,202,1.0,1.0,True,True,False,False
203,203,1.0,0.0,False,False,True,False
204,204,1.0,0.0,False,False,True,False
205,205,1.0,1.0,True,True,False,False
206,206,1.0,0.0,False,False,True,False
207,207,1.0,1.0,True,True,False,False
208,208,1.0,1.0,True,True,False,False
209,209,1.0,1.0,True,True,False,False
210,210,2.0,1.0,True,False,False,False
211,211,1.0,1.0,True,True,False,False
212,212,2.0,1.0,True,False,False,False
214,214,0.0,1.0,False,False,False,True
215,215,1.0,1.0,True,True,False,False
216,216,1.0,0.0,False,False,True,False
217,217,1.0,1.0,True,True,False,False
218,218,1.0,1.0,True,True,False,False
219,219,1.0,1.0,True,True,False,False
220,220,1.0,2.0,True,False,False,False
221,221,1.0,1.0,True,True,False,False
222,222,1.0,1.0,True,True,False,False
223,223,1.0,1.0,True,True,False,False
